customer_id,full_name,gender,birth_date,city,segment,registration_date
1,Аким Елизарович Николаев,M,1970-11-11,Екатеринбург,Premium,2022-02-21
2,Орлов Трифон Афанасьевич,M,1995-11-09,Уфа,Premium,2022-10-13
3,Новиков Вадим Григорьевич,M,1971-07-04,Москва,Retail,2025-04-24
4,Александр Герасимович Терентьев,M,1999-11-24,Ростов-на-Дону,Retail,2023-03-24
5,Панкрат Гурьевич Третьяков,M,1995-10-10,Уфа,Retail,2025-02-23
6,Беспалова Агата Валериевна,F,2003-03-08,Казань,Retail,2023-03-28
7,Матвеев Герман Григорьевич,M,2007-08-18,Нижний Новгород,Premium,2022-11-23
8,Тарасова Марина Болеславовна,F,1980-02-07,Нижний Новгород,Retail,2022-11-15
9,Эрнест Евсеевич Константинов,M,1958-08-18,Нижний Новгород,Retail,2022-07-09
10,Синклитикия Васильевна Турова,F,1981-06-07,Москва,Retail,2025-05-21
11,Анисимова Юлия Михайловна,F,1994-12-18,Челябинск,Retail,2025-01-03
12,Виноградов Аникита Давыдович,M,1975-05-14,Ростов-на-Дону,Retail,2025-02-04
13,г-жа Князева Антонина Мироновна,F,1974-08-04,Санкт-Петербург,Retail,2025-03-28
14,Щукин Михаил Владиславович,M,1980-11-11,Казань,Retail,2025-09-16
15,Агафонов Карл Артёмович,M,1997-02-15,Челябинск,Business,2023-04-22
16,Синклитикия Ефимовна Сорокина,F,1987-02-17,Нижний Новгород,Retail,2024-07-17
17,Стрелков Федосий Гурьевич,M,2002-04-06,Казань,Retail,2024-01-29
18,Комиссаров Аполлон Давыдович,M,1957-11-09,Уфа,Retail,2025-06-01
19,Олег Евстигнеевич Голубев,M,1970-01-12,Казань,Retail,2022-12-01
20,Ферапонт Жанович Соболев,M,2000-04-11,Москва,Retail,2025-11-03
21,Ратмир Викторович Белоусов,M,1965-03-05,Челябинск,Premium,2022-03-07
22,Шилова Синклитикия Захаровна,F,2006-07-05,Ростов-на-Дону,Retail,2022-05-16
23,Фаина Ниловна Денисова,F,1970-08-07,Челябинск,Premium,2023-03-12
24,г-жа Панфилова Полина Богдановна,F,2007-02-08,Екатеринбург,Retail,2022-10-20
25,Макарова Виктория Валериевна,F,2001-12-24,Ростов-на-Дону,Retail,2025-04-12
26,Голубева Мария Мироновна,F,1996-03-22,Новосибирск,Retail,2024-01-12
27,тов. Лыткина Таисия Андреевна,F,2001-12-19,Санкт-Петербург,Premium,2022-07-06
