loan_id,customer_id,loan_type,amount,interest_rate,term_months,issue_date,branch,status,risk_score,full_name,gender,birth_date,city,segment,registration_date
1,341,Потребительский,513000.0,17.23,24,2025-11-13,Отделение №2,Активен,0.647,Калашникова Мария Максимовна,F,1968-11-11,Санкт-Петербург,Business,2025-11-13
2,275,Потребительский,150000.0,13.82,36,2025-11-20,Отделение №7,Активен,0.212,Симонов Ян Анисимович,M,1990-09-20,Москва,Retail,2022-10-14
3,174,Вексель,3707000.0,8.25,9,2023-05-30,Отделение №6,Просрочен,0.059,Ульяна Эдуардовна Селиверстова,F,1956-10-02,Екатеринбург,Retail,2023-05-30
4,631,Кредитная карта,157000.0,23.78,24,2025-05-26,Отделение №10,Активен,0.967,Большакова Марфа Эдуардовна,F,1988-08-28,Казань,Premium,2022-06-25
5,266,Вексель,4068000.0,15.78,3,2023-11-25,Отделение №7,Закрыт,0.381,Елена Борисовна Шестакова,F,1999-08-20,Самара,Premium,2023-11-25
6,557,Вексель,748000.0,9.8,3,2025-04-03,Отделение №8,Закрыт,0.17,тов. Орлов Лавр Фёдорович,M,2003-07-17,Челябинск,Retail,2024-08-24
7,15,Кредитная карта,267000.0,12.34,12,2023-04-22,Отделение №3,Закрыт,0.53,Федосий Гурьевич Зимин,M,1972-07-15,Челябинск,Business,2023-04-22
8,509,Потребительский,285000.0,22.54,24,2025-12-14,Отделение №12,Активен,0.835,Жанна Георгиевна Орехова,F,1983-01-18,Самара,Retail,2025-12-14
9,532,Ипотека,6301000.0,21.76,240,2025-06-09,Отделение №9,Активен,0.927,Эдуард Зиновьевич Князев,M,1975-09-15,Ростов-на-Дону,Premium,2023-11-22
10,358,Потребительский,720000.0,20.55,36,2025-03-16,Отделение №14,Активен,0.151,г-жа Воробьева Милица Михайловна,F,1982-05-10,Нижний Новгород,Premium,2025-03-16
11,609,Кредитная карта,202000.0,9.98,24,2022-04-19,Отделение №3,Просрочен,0.055,Федосеева Нинель Андреевна,F,1956-02-04,Челябинск,Retail,2022-02-05
12,15,Потребительский,245000.0,8.63,48,2024-06-12,Отделение №8,Активен,0.895,Федосий Гурьевич Зимин,M,1972-07-15,Челябинск,Business,2023-04-22
13,703,Потребительский,317000.0,15.57,48,2024-07-26,Отделение №14,Активен,0.846,Татьяна Антоновна Королева,F,1986-12-31,Екатеринбург,Premium,2022-08-29
14,185,Потребительский,312000.0,9.82,24,2023-08-05,Отделение №9,Закрыт,0.168,Игнатов Святослав Валерьевич,M,1957-03-05,Казань,Premium,2022-11-02
15,189,Вексель,2860000.0,24.86,6,2025-06-02,Отделение №13,Просрочен,0.004,Крюков Ким Фёдорович,M,1999-01-29,Санкт-Петербург,Business,2025-06-02
16,283,Автокредит,1483000.0,20.64,24,2023-05-20,Отделение №15,Закрыт,0.677,Людмила Анатольевна Афанасьева,F,2000-06-26,Екатеринбург,Retail,2022-05-05
17,552,Потребительский,263000.0,13.37,12,2024-07-17,Отделение №2,Закрыт,0.929,Комиссаров Ипат Ильич,M,1964-04-28,Челябинск,Retail,2024-07-17
18,357,Вексель,853000.0,21.78,3,2025-04-03,Отделение №8,Закрыт,0.66,Людмила Юрьевна Кудряшова,F,1969-12-13,Москва,Retail,2025-04-03
19,719,Автокредит,1100000.0,24.34,24,2024-10-10,Отделение №8,Активен,0.656,Тимур Евсеевич Нестеров,M,1970-04-24,Казань,Retail,2024-10-10
20,391,Потребительский,599000.0,22.38,24,2023-03-09,Отделение №5,Закрыт,0.802,Милица Владимировна Мишина,F,1974-12-10,Екатеринбург,Business,2022-07-07
21,543,Потребительский,92000.0,24.01,12,2025-06-12,Отделение №7,Активен,0.381,Лидия Мироновна Матвеева,F,1998-02-17,Новосибирск,Retail,2025-06-12
22,499,Потребительский,230000.0,6.88,48,2022-10-30,Отделение №7,Активен,0.208,Владимирова Пелагея Робертовна,F,1964-06-03,Екатеринбург,Premium,2022-10-30
23,643,Вексель,1496000.0,11.99,6,2023-09-09,Отделение №12,Закрыт,0.801,Алина Андреевна Николаева,F,1958-01-24,Новосибирск,Retail,2023-09-09
24,682,Вексель,1619000.0,18.75,6,2024-01-06,Отделение №9,Закрыт,0.832,Адам Тарасович Шаров,M,1992-10-08,Самара,Premium,2023-06-22
25,671,Потребительский,384000.0,11.44,48,2024-09-02,Отделение №2,Активен,0.6,Попова Анастасия Дмитриевна,F,1962-06-21,Самара,Retail,2022-07-19
26,770,Вексель,4074000.0,18.1,6,2024-06-08,Отделение №9,Закрыт,0.093,Козлов Сергей Ерофеевич,M,1969-03-01,Самара,Retail,2022-01-26
27,597,Потребительский,398000.0,19.13,24,2025-08-19,Отделение №8,Активен,0.155,Вадим Фокич Калашников,M,1990-03-18,Екатеринбург,Retail,2024-02-17
28,55,Автокредит,2083000.0,15.12,24,2023-08-19,Отделение №13,Просрочен,0.079,Анастасия Степановна Федорова,F,1999-12-11,Казань,Retail,2022-10-15
29,203,Ипотека,3486000.0,23.11,180,2025-11-02,Отделение №9,Активен,0.842,Мартьян Тихонович Кулагин,M,1959-11-07,Ростов-на-Дону,Premium,2025-10-12
30,142,Ипотека,7685000.0,15.95,120,2022-04-13,Отделение №7,Активен,0.511,Любосмысл Гавриилович Мартынов,M,1966-09-14,Нижний Новгород,Retail,2022-04-13
31,113,Потребительский,546000.0,11.19,36,2023-12-29,Отделение №9,Дефолт,0.082,Потапова Октябрина Николаевна,F,1958-11-29,Ростов-на-Дону,Retail,2023-08-11
32,370,Потребительский,605000.0,20.97,48,2025-05-03,Отделение №1,Активен,0.843,Ладимир Владиленович Кулаков,M,1992-07-27,Санкт-Петербург,Premium,2025-05-03
33,650,Потребительский,708000.0,17.3,36,2023-10-05,Отделение №11,Активен,0.455,Авксентий Исидорович Медведев,M,1970-11-02,Екатеринбург,Retail,2023-09-08
34,356,Ипотека,10078000.0,10.38,240,2025-06-13,Отделение №10,Дефолт,0.078,Пахомов Прокл Иларионович,M,1978-12-04,Челябинск,Retail,2025-06-13
35,798,Потребительский,555000.0,6.83,48,2024-12-30,Отделение №1,Активен,0.395,Шашков Ираклий Анисимович,M,1986-07-23,Нижний Новгород,Premium,2023-03-17
36,420,Потребительский,408000.0,24.27,48,2025-09-09,Отделение №8,Активен,0.602,Сысоева Синклитикия Львовна,F,1984-01-30,Самара,Retail,2023-01-18
37,318,Потребительский,660000.0,18.9,36,2025-11-15,Отделение №7,Активен,0.69,Ларионов Изот Феофанович,M,1987-06-05,Казань,Business,2025-06-01
38,784,Вексель,529000.0,10.01,6,2022-08-01,Отделение №12,Закрыт,0.816,Калашникова Анастасия Александровна,F,1979-03-07,Екатеринбург,Retail,2022-08-01
39,446,Кредитная карта,262000.0,18.43,12,2025-02-08,Отделение №7,Активен,0.65,Колобова Зинаида Александровна,F,1969-03-27,Самара,Retail,2025-02-08
40,158,Вексель,4305000.0,12.04,6,2024-06-06,Отделение №8,Закрыт,0.463,Субботин Самсон Валентинович,M,1998-06-04,Самара,Business,2024-06-06
41,600,Ипотека,3165000.0,14.69,180,2025-12-09,Отделение №1,Активен,0.485,Хохлова Ульяна Владимировна,F,1985-02-10,Нижний Новгород,Premium,2022-12-11
42,286,Кредитная карта,188000.0,16.98,12,2025-03-02,Отделение №1,Активен,0.834,Маслов Адриан Зиновьевич,M,1964-08-11,Уфа,Retail,2025-03-02
43,445,Потребительский,127000.0,22.11,48,2024-05-01,Отделение №10,Активен,0.737,Агафонов Валентин Гаврилович,M,2006-09-21,Москва,Premium,2023-04-30
44,236,Вексель,4995000.0,13.85,3,2024-09-25,Отделение №12,Закрыт,0.513,Павел Бориславович Щукин,M,1981-02-13,Казань,Premium,2024-08-19
45,359,Автокредит,2165000.0,19.64,60,2024-10-23,Отделение №7,Активен,0.528,Галина Алексеевна Баранова,F,1999-10-21,Москва,Retail,2024-10-23
46,223,Автокредит,1838000.0,14.18,48,2025-08-20,Отделение №8,Активен,0.473,Титов Тимур Иосифович,M,1983-04-12,Челябинск,Retail,2022-05-23
47,552,Автокредит,2080000.0,14.53,60,2025-11-29,Отделение №12,Активен,0.161,Комиссаров Ипат Ильич,M,1964-04-28,Челябинск,Retail,2024-07-17
48,635,Потребительский,308000.0,10.54,24,2024-11-05,Отделение №6,Активен,0.909,Демид Валерианович Попов,M,1992-06-26,Казань,Retail,2023-09-24
49,378,Кредитная карта,260000.0,15.12,36,2025-09-17,Отделение №12,Активен,0.883,Овчинников Аполлон Валерьевич,M,1982-08-13,Ростов-на-Дону,Retail,2025-09-17
50,606,Вексель,4803000.0,21.22,9,2024-08-25,Отделение №10,Закрыт,0.845,Глафира Альбертовна Афанасьева,F,1988-03-16,Ростов-на-Дону,Retail,2024-02-04
51,115,Потребительский,568000.0,15.39,12,2025-09-28,Отделение №3,Активен,0.173,Ульяна Мироновна Архипова,F,1955-12-24,Казань,Premium,2022-12-14
52,698,Автокредит,662000.0,12.09,60,2025-01-30,Отделение №1,Активен,0.209,Маркова Вера Валериевна,F,1993-10-03,Ростов-на-Дону,Retail,2025-01-30
53,738,Кредитная карта,127000.0,18.96,24,2024-06-20,Отделение №14,Активен,0.175,Кирилл Фокич Фомичев,M,2001-02-03,Екатеринбург,Retail,2024-06-20
54,241,Кредитная карта,39000.0,14.42,12,2023-11-23,Отделение №2,Закрыт,0.618,Эдуард Адамович Васильев,M,1996-08-02,Санкт-Петербург,Retail,2022-07-05
55,762,Автокредит,1665000.0,20.66,48,2024-10-13,Отделение №9,Активен,0.77,Эмиль Августович Цветков,M,1968-10-18,Уфа,Business,2024-10-13
56,552,Потребительский,163000.0,7.43,12,2025-12-17,Отделение №13,Активен,0.946,Комиссаров Ипат Ильич,M,1964-04-28,Челябинск,Retail,2024-07-17
57,320,Ипотека,10416000.0,20.88,120,2023-12-20,Отделение №14,Активен,0.61,Олимпиада Георгиевна Фомина,F,1990-12-12,Новосибирск,Retail,2023-12-20
58,619,Кредитная карта,252000.0,8.44,12,2025-11-18,Отделение №14,Активен,0.63,Эмиль Еремеевич Гуляев,M,2004-08-14,Самара,Business,2025-11-18
59,613,Потребительский,321000.0,14.62,36,2025-12-21,Отделение №12,Активен,0.506,Гаврила Арсеньевич Лобанов,M,1984-12-18,Самара,Business,2024-02-04
60,31,Кредитная карта,72000.0,21.57,24,2025-10-28,Отделение №4,Активен,0.123,Гущин Митофан Ефремович,M,1968-02-15,Казань,Business,2025-10-28
61,434,Ипотека,6157000.0,21.86,120,2024-12-20,Отделение №5,Активен,0.474,Любим Ермилович Юдин,M,1958-10-01,Нижний Новгород,Retail,2024-12-20
62,251,Автокредит,622000.0,13.14,48,2024-04-29,Отделение №3,Активен,0.665,Регина Кузьминична Рыбакова,F,1989-02-15,Казань,Business,2023-12-09
63,408,Вексель,2695000.0,21.25,6,2024-02-04,Отделение №7,Закрыт,0.413,Галина Никифоровна Горбачева,F,1994-02-12,Москва,Retail,2024-02-04
64,779,Кредитная карта,287000.0,13.16,36,2025-10-29,Отделение №3,Просрочен,0.03,Фаина Яковлевна Богданова,F,1980-03-24,Нижний Новгород,Retail,2025-06-29
65,225,Вексель,3616000.0,12.72,3,2023-09-04,Отделение №13,Закрыт,0.402,Константинова Кира Львовна,F,1997-06-29,Ростов-на-Дону,Premium,2023-09-04
66,788,Потребительский,96000.0,23.47,12,2025-09-14,Отделение №10,Активен,0.151,Лукин Евстигней Марсович,M,2005-01-28,Новосибирск,Retail,2025-04-04
67,713,Потребительский,524000.0,13.9,36,2025-07-09,Отделение №9,Активен,0.681,Кира Архиповна Филиппова,F,1969-04-02,Самара,Retail,2025-07-09
68,472,Кредитная карта,225000.0,6.65,24,2023-12-06,Отделение №9,Закрыт,0.28,Аггей Демидович Ершов,M,1959-03-05,Ростов-на-Дону,Business,2023-08-18
69,148,Автокредит,782000.0,18.35,60,2024-07-02,Отделение №10,Активен,0.888,Савватий Изотович Родионов,M,2007-07-02,Санкт-Петербург,Retail,2023-05-04
70,613,Вексель,3295000.0,13.94,9,2025-08-21,Отделение №5,Активен,0.197,Гаврила Арсеньевич Лобанов,M,1984-12-18,Самара,Business,2024-02-04
71,43,Потребительский,453000.0,16.08,48,2024-03-28,Отделение №4,Активен,0.541,Родионова Надежда Рубеновна,F,2000-08-04,Нижний Новгород,Business,2024-03-28
72,517,Потребительский,464000.0,9.44,36,2025-07-25,Отделение №13,Просрочен,0.028,Стрелков Климент Александрович,M,1964-12-31,Уфа,Retail,2023-05-12
73,449,Автокредит,1073000.0,24.66,48,2024-05-15,Отделение №1,Активен,0.11,Харитонова Варвара Рубеновна,F,1971-08-18,Санкт-Петербург,Premium,2024-04-18
74,496,Вексель,1373000.0,7.38,9,2025-04-10,Отделение №2,Активен,0.651,Жданова Фаина Харитоновна,F,1993-02-11,Москва,Retail,2025-04-10
75,13,Ипотека,7724000.0,12.74,120,2025-03-28,Отделение №12,Активен,0.236,Анжела Юльевна Калашникова,F,1964-07-28,Санкт-Петербург,Retail,2025-03-28
76,374,Кредитная карта,183000.0,16.31,36,2025-09-24,Отделение №6,Активен,0.596,Афанасьева Ольга Станиславовна,F,1977-01-13,Новосибирск,Retail,2022-02-07
77,664,Потребительский,550000.0,16.06,24,2024-02-13,Отделение №6,Активен,0.248,Ковалева Синклитикия Матвеевна,F,2005-11-01,Челябинск,Business,2023-11-11
78,104,Автокредит,901000.0,8.3,48,2024-07-19,Отделение №14,Активен,0.712,Регина Рубеновна Васильева,F,1984-08-28,Уфа,Retail,2024-06-12
79,24,Ипотека,2922000.0,15.26,300,2022-10-20,Отделение №6,Активен,0.446,Абрамова Светлана Ждановна,F,2006-03-03,Екатеринбург,Retail,2022-10-20
80,190,Вексель,2073000.0,17.25,12,2025-07-05,Отделение №8,Активен,0.636,г-н Панов Устин Виленович,M,1975-08-15,Санкт-Петербург,Retail,2025-07-05
81,42,Вексель,4744000.0,9.16,12,2023-03-10,Отделение №12,Закрыт,0.127,Исакова Евдокия Болеславовна,F,1960-09-18,Екатеринбург,Business,2023-03-10
82,17,Ипотека,11680000.0,10.41,120,2025-11-23,Отделение №12,Активен,0.473,Федотов Артемий Гордеевич,M,2003-02-27,Казань,Retail,2024-01-29
83,430,Потребительский,469000.0,22.18,12,2025-05-17,Отделение №6,Активен,0.11,Васильева Светлана Дмитриевна,F,1988-11-05,Екатеринбург,Retail,2022-03-13
84,365,Автокредит,505000.0,13.33,36,2025-07-16,Отделение №5,Активен,0.991,Михеев Никанор Валерианович,M,1969-04-14,Санкт-Петербург,Retail,2025-07-16
